,institute_name_scrapper,course_name,duration,Intakes Dates,status,Link of the Program,inst_currency
68,durham college,Entrepreneurship and Small Business – Business – Transfer to Ontario Tech University Bachelor of Commerce (Hons),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/entrepreneurship-and-small-business-business-transfer-to-ontario-tech-bachelor-of-commerce-hons,Canadian dollar(Can$)
69,durham college,Environment Health and Safety Management (graduate certificate),Three semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/environment-health-and-safety-management,Canadian dollar(Can$)
70,durham college,Environmental Technology (Co-op option available),Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/environmental-technology,Canadian dollar(Can$)
71,durham college,Environmental Technology (fast-track),Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/environmental-technology-compressed-fast-track,Canadian dollar(Can$)
72,durham college,Esport Business Management (graduate certificate) – flexible delivery,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/esport-business-management-graduate-certificate,Canadian dollar(Can$)
73,durham college,Esthetician – Spa Management,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/esthetician-spa-management,Canadian dollar(Can$)
74,durham college,Event Planning (Co-op option available),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/event-planning,Canadian dollar(Can$)
75,durham college,Finance – Business,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/finance-business,Canadian dollar(Can$)
76,durham college,Finance – Business Administration (Co-op option available),Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/finance-business-administration,Canadian dollar(Can$)
77,durham college,Finance – Business – Transfer to Ontario Tech University Bachelor of Commerce (Hons),Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/finance-business-transfer-to-ontario-tech-university-bachelor-of-commerce-hons,Canadian dollar(Can$)
78,durham college,Fine Arts – Advanced,Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/fine-arts-advanced,Canadian dollar(Can$)
79,durham college,Firefighter – Pre-Service Education and Training,Three consecuti,"e

						September 2022 
View",,https://durhamcollege.ca/programs/firefighter-pre-service-education-and-training,Canadian dollar(Can$)
80,durham college,Firefighter – Pre-Service Education and Training (compressed),Two consecutive,"e

						January 2023 
View al",,https://durhamcollege.ca/programs/firefighter-pre-service-education-and-training-compressed,Canadian dollar(Can$)
81,durham college,Fitness and Health Promotion,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/fitness-and-health-promotion,Canadian dollar(Can$)
82,durham college,Horticulture – Food and Farming,Four semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/food-and-farming,Canadian dollar(Can$)
83,durham college,Foundations in Art and Design,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/foundations-in-art-and-design,Canadian dollar(Can$)
84,durham college,Game – Art,Six semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/game-art,Canadian dollar(Can$)
85,durham college,Gas Technician 2,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/gas-technician-2,Canadian dollar(Can$)
86,durham college,Gas Technician – evenings and weekends,as Technician – evenin,classesin SeptemberDiscover D,,https://durhamcollege.ca/programs/gas-technician-2-evening,Canadian dollar(Can$)
87,durham college,Gas Technician – evenings and weekends,as Technician – evenin,classesin SeptemberDiscover D,,https://durhamcollege.ca/programs/gas-technician-3-evening,Canadian dollar(Can$)
88,durham college,General Arts and Science – General Certificate,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/general-arts-and-science-general-certificate-gasc,Canadian dollar(Can$)
89,durham college,General Arts and Science – General Certificate (Online),Two semesters,"e

						January 2023 
View al",,https://durhamcollege.ca/programs/general-arts-and-science-general-certificate-online,Canadian dollar(Can$)
90,durham college,General Arts and Science – Liberal Arts Ontario Tech University Transfer,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/general-arts-and-science-liberal-arts-ontario-tech-university-transfer,Canadian dollar(Can$)
91,durham college,General Arts and Science – Liberal Arts Ontario Tech University Transfer – Forensics,Two semesters,"e

						September 2022 
View",,https://durhamcollege.ca/programs/general-arts-and-science-liberal-arts-ontario-tech-university-transfer-forensics,Canadian dollar(Can$)
